"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1133,655,"1993-09-20",25,"Saison 7","/z58MBPRPBpd7vzcmYwfZfZuKx3w.jpg",6.6
1134,2316,"2006-07-13",89,"Épisodes spéciaux","/cdyAUEDNTI8Zt3otBadmivqagNK.jpg",0
1135,2316,"2005-03-24",6,"Saison 1","/dsjvCIcKbtE8WYdtiCT2N6I6Szr.jpg",7.7
1136,2316,"2005-09-20",22,"Saison 2","/lIJsJDhTdA4aHLMNcWTiT2k7tAn.jpg",8.2
1137,2316,"2006-09-21",23,"Saison 3","/yhNZaS7TLp5Sytr0hHAXuMRjzZG.jpg",8.3
1138,2316,"2007-09-27",14,"Saison 4","/l6gfUBLSjYZRYRyNzHoyg4HwKHL.jpg",8.2
1139,2316,"2008-09-25",26,"Saison 5","/3ltguQWsgE7XS1PyfhbgzKtjA0i.jpg",8.2
1140,2316,"2009-09-17",24,"Saison 6","/3m0wz8nlCyi0MVYUQxkYqSemIZz.jpg",7.8
1141,2316,"2010-09-23",24,"Saison 7","/dwEhQT5E8ZDNsihBYLjs9lkZT6G.jpg",7.9
1142,2316,"2011-09-22",24,"Saison 8","/abFTxobTpjzLZbVMvSC1Hg9FAPn.jpg",7.6
1143,2316,"2012-09-20",23,"Saison 9","/hmnOtgTKhXigwe8akFv2Yzhivjy.jpg",7.8
1144,75219,"2018-01-04",10,"Saison 1","/cJU6QWDLQy7wbUhyMtLXE9ATsxo.jpg",6.7
1145,75219,"2018-09-24",18,"Saison 2","/ceydu4q0xJMyuTgWqrzGFUL2AKu.jpg",7.3
1146,75219,"2019-09-24",18,"Saison 3","/sF3SA8mqNKqNiNs8VoKFTucXWWS.jpg",8.1
1147,75219,"2021-01-19",14,"Saison 4","/hUt6Ws6BWpTtYKMifj4ihFmdr29.jpg",8.1
1148,75219,"2021-09-21",18,"Saison 5","/yD8iS1Hbq76XmWzbaFbWH66SFH6.jpg",7.7
1149,75219,"2022-09-20",18,"Saison 6","/4zTmsU7RUOyFc7HqGd9EJprRNaC.jpg",8.3
1150,87917,"null",32,"Épisodes spéciaux","/1s5KX9ym228BQ0fRyRWvhmtyDSV.jpg",0
1151,87917,"2019-11-01",10,"Saison 1","/dIdcVtEQ6AQHER7crJSwBapprit.jpg",7.1
1152,87917,"2021-02-19",10,"Saison 2","/lTzcORcO8Ck8hJDcpRkIUCYBnJ1.jpg",6.9
1153,87917,"2022-06-09",10,"Saison 3","/5uBlp9LAXKb2jdI6O17vdXb7sYt.jpg",6.7
1154,87917,"2023-11-09",10,"Saison 4","/fDYOhIDt274Cn5yup50gDugZmcj.jpg",5
1155,40605,"1995-12-05",128,"Saison 1","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1156,40605,"1996-08-16",167,"Saison 2","null",0
1157,40605,"1997-08-30",155,"Saison 3","null",0
1158,40605,"1998-08-25",166,"Saison 4","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1159,40605,"1999-08-17",171,"Saison 5","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1160,40605,"2000-08-15",170,"Saison 6","null",0
1161,40605,"2001-08-14",161,"Saison 7","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1162,40605,"2002-08-20",179,"Saison 8","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1163,40605,"2003-09-15",67,"Saison 9","/cABrAWIZC4Jw6dKBvsqkvBmZzGP.jpg",0
1164,40605,"2004-12-23",1,"Saison 10","null",0
1165,40605,"2005-08-17",1,"Saison 11","null",0
1166,40605,"2008-08-23",1,"Saison 12","null",0
1167,40605,"2009-09-17",1,"Saison 13","null",0
1168,40605,"2010-09-16",1,"Saison 14","null",0
1169,39351,"2011-10-10",15,"Épisodes spéciaux","/1rt7ctk8FRi0zkJ3zadGdhBA43P.jpg",0
1170,39351,"2011-10-28",22,"Saison 1","/u528wLwDbyu0WlgHh2r43FwAx7I.jpg",7.6
1171,39351,"2012-08-13",22,"Saison 2","/8LE5y2IikrEyeshDB4YhFuQT4Ba.jpg",7.6
1172,39351,"2013-10-25",22,"Saison 3","/kRDE67ctZs4lYYdjBJLVORdfdRP.jpg",7.6
1173,39351,"2014-10-24",22,"Saison 4","/trc0A2SSmmSrjWERKP2TlXe3WAw.jpg",7.1
1174,39351,"2015-10-30",21,"Saison 5","/lagyAws2NkUqFKVjgzip4lfxXYt.jpg",7.1
1175,39351,"2017-01-06",13,"Saison 6","/l4cmFyuLf4IE6zJGcFkGd2BdQsd.jpg",7.5
1176,34307,"2010-12-12",23,"Épisodes spéciaux","/mEsacM6KmTf6z9kDVMisXw0EGmR.jpg",0
1177,34307,"2011-01-10",12,"Saison 1","/3L0ewQDnvgWdfL8rYi4fdHeiell.jpg",8
1178,34307,"2012-01-09",12,"Saison 2","/v7yEZZCMXgSMoGBr4DRcj4wwBGt.jpg",7.8
1179,34307,"2013-01-14",12,"Saison 3","/j4tFVJ926chUO9rWfHxCVw6WP18.jpg",8
1180,34307,"2014-01-13",12,"Saison 4","/xunL4azPNRRVYqPqLhxgezwAUBr.jpg",8.3
1181,34307,"2015-01-12",12,"Saison 5","/hq3BoH2LJfwInCTn3Vc3k8NGfBC.jpg",8.5
1182,34307,"2016-01-11",12,"Saison 6","/AnA6suQeG9vBF0tx3IFKCLPdq3m.jpg",8.2
1183,34307,"2016-10-03",12,"Saison 7","/eOqXdkg0flz99a0OXpNKoQTSp7Z.jpg",7.2
1184,34307,"2017-11-06",12,"Saison 8","/1E6asdJoCpoalo8mrFerAHFKANj.jpg",8.3
1185,34307,"2018-09-10",14,"Saison 9","/von3HnQF4SokUopZV6FXt12NfXM.jpg",8.2
1186,34307,"2019-11-11",12,"Saison 10","/m2gf7SYOq9z30Q1dJFMF51DfrmF.jpg",7.3
1187,34307,"2020-12-07",12,"Saison 11","/9akij7PqZ1g6zl42DQQTtL9CTSb.jpg",7.1
1188,21561,"null",5,"Épisodes spéciaux","/dHZ5e9y9GwJ75DOdZBace6CrSls.jpg",0
1189,21561,"1995-03-26",21,"Saison 1","/6A17QPVwhlRcIIoyJr1Aw9CxiHL.jpg",5.9
1190,21561,"1996-01-14",22,"Saison 2","/eJRGGVd4l2ISF6dbHc5ehKxO0fA.jpg",6.7
1191,21561,"1997-01-19",18,"Saison 3","/lmU4U3nWm9gxUQyq0RejV0rK326.jpg",5.8
1192,21561,"1998-01-23",26,"Saison 4","/9L4Zk42CT1dFoYpevccdwIj7hpY.jpg",5.3
1193,21561,"1999-01-22",22,"Saison 5","/dWabOU5fvWLB2kBO6ZIFi2XaA2t.jpg",5.9
1194,21561,"2000-01-21",22,"Saison 6","/wa7G5pC1oXCRaYsUxMus9yW6Av6.jpg",5.5
1195,21561,"2001-03-16",22,"Saison 7","/c6KqKgJ9mOY850kNa3o0on4tlkl.jpg",5.7
1196,63252,"2013-01-14",6,"Saison 1","null",0
1197,63252,"2013-09-05",2,"Saison 2","/x2hlc5r8y6798Y6DqgnSs7mCn6F.jpg",0
1198,63252,"2014-09-10",2,"Saison 3","null",0
1199,63252,"2015-09-04",22,"Saison 4","null",0
1200,63252,"2016-09-06",2,"Saison 5","null",0
1201,63252,"2017-09-12",2,"Saison 6","null",0
1202,63252,"2018-09-19",251,"Saison 7","null",0
